Property Type,Status,Curr List Price,Street Name,Street Type,Zip,County,Area,Baths,Beds,SqFt,Fin SqFt,Total SqFt,PSF,PSF Fin,Car Storage,Spaces,Description,Bsmt Size,Bsmt SqFt,Upper Beds,Fireplaces,Type,Near By,Style,Construction,Roofing,Year Built,Elementary,Junior High,Senior High,School District,Zoned,Terms,Addl Terms,Earnest Ck To,Min Earnest,Possession,Exclusions,Buyers Agency,Trans Br,Var Comm,LTD Srvc,Exclusive Agency,Legal,Taxes,EW Direction,EW#,NS Direction,NS#,Heat,Sewer,Water,Acres,Lot Size,Curr DOM,Total DOM,Orig List Price,Name,Listing Office,Sold Price,Concession Amt,Seller Type,Entered By,Entered Where,Internet Ads,Photo Count,Latitude,Longitude
Res,S,324900,WOODROSE,Ct,80129,DOUG,DHL,4,5,1644,2139,2243,194.65,149.6,"Garage,Attached",3,"Air Cond-Central,Ceiling Fan,Cul-De-Sac,Dbl Pane Wndw,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Garage Dr,Great Room,Handicap,Hot Tub,Master Suite,Newer Paint,Pool Community,Patio,Quick Poss,Refrigerator,Skylights,Sprinkler,Stove/Range/Ovn,Tile Floor,Vaulted Ceiling,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Full,599,4,1,Detach Singl Fam,,Two Story,Frame/Brick,Composition,1993,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,LAND TITLE,3000,Per Contract,PERSONAL BELONGINGS / TV'S AND AUDIO,2.8,2.8,No,No,Excl Right,LOT 23 HIGHLANDS RANCH #110B 0.20 AM/L,1927,West,3000,South,10109,"Forced Air, Gas",Community,Community,0.2,8712,3,3,324900,AUSTIN KRAFT,LION'S GATE REAL ESTATE,320000,400,Individual,ak,BO,Yes,23,39.53257,-105.021822
Res,S,304900,POPPY,Pl,80129,DOUG,DHL,2,3,1404,1404,1903,232.91,232.91,"Garage,Attached",3,"Air Cond-Central,Backs to Open Sp,Cable Installed,Corner,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Formal Dining,Fireplace Insert,Five Piece Bath,Garage Dr,Great Room,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Pool Community,Patio,Quick Poss,Refrigerator,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,View Mountains,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Partial,499,3,1,Detach Singl Fam,,Ranch/1 Story,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,4000,UPON DOD AND FUNDING,SELLERS PERSONAL PROPERTY,2.8,2,Yes,No,Excl Right,LOT 71 HIGHLANDS RANCH # 121-C. 0.193 AM/L,2123,West,800,South,9900,"Forced Air, Gas",Public,Public,0.19,8276,4,4,304900,Nicholas Dembeck,RE/MAX ALLIANCE,327000,300,Individual,ND,BO,Yes,25,39.53788,-104.99602
Res,S,290000,ROSEWALK,Ct,80129,DOUG,DHL,3,3,1567,1567,2469,188.26,188.26,"Garage,Attached",2,"Air Cond-Central,Attic Fan,Cable Available,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Fireplace Insert,Garden Area,Hot Tub,Microwave Oven,Master Suite,Newer Paint,Pool Community,Patio,Quick Poss,Refrigerator,Self-Clean Oven,Sprinkler,Stove/Range/Ovn,Updated,Utility Shed,Vaulted Ceiling,Wndw Cover,Wood Floors,W/W Carpet",Full,902,3,1,Attach Singl Fam,,Two Story,Frame/Brick,Composition,1989,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,CHICAGO TITLE,5000,AS TIME OF CLOSING AND FUNDING,"REFRIGERATOR IN GARAGE, WASHER/DRYER, SELLERS PERSONAL PROPERTY",2.8,2.8,No,No,Excl Right,LOT 28 HIGHLANDS RANCH #78A 7917 SQ FT 0.182 AM/L,1842,Out of Metro,0,Out of Metro,0,"Forced Air, Gas",,Public,0.18,7840,4,4,290000,JODY SHEAHAN,ERA HERMAN GROUP,295000,1500,Individual,JS,BO,Yes,18,39.537576,-105.032823
Res,S,300000,DEER CREEK,Trl,80129,DOUG,DHL,4,4,1641,2412,2498,188.91,128.52,"Garage,Attached",2,"Air Cond-Central,Ceiling Fan,Cable Installed,Deck,Dryer,Disposal,Eating Sp/Kit,Five Piece Bath,Jack & Jill Bath,Kitchen Island,Pool Community,Self-Clean Oven,Smoke Free,Sprinkler,Washer,Wndw Cover,Wood Floors",Full,857,3,2,Detach Singl Fam,,Two Story,Frame,Composition,1993,Trailblazer              ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,GUARDIAN TITLE,3000,DELIVERY IF DEED AND FUNDING,REFRIGERATOR,2.8,2.8,Yes,No,Excl Right,LOT 5 HIGHLANDS RANCH #102A .17 AM/L,1915,West,2888,South,9900,"Forced Air, Gas",Public,Public,0.17,7405,7,7,300000,DANIEL PASS,COLDWELL BANKER RESIDENTIAL 56,310000,6800,Individual,rs,BO,Yes,15,39.533747,-105.023477
Res,S,299950,BURBERRY,Way,80129,DOUG,DHL,3,3,1473,1908,1908,203.63,157.21,"Garage,Attached",2,"Air Cond-Central,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Garden Area,Garage Dr,Gas Logs,Jack & Jill Bath,Mstr Bathroom,Microwave Oven,Media Room,Master Suite,Pool Community,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,View City,Vaulted Ceiling,View Mountains,Wndw Cover,Wood Floors,Water Softener,W/W Carpet",Partial,435,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Colorado Escrow and Title,4000,neg.,see broker remarks,2.8,2.8,Yes,No,Excl Agency,LOT 6 HIGHLANDS RANCH 121C 0.173 AM/L,1789,West,0,South,0,"Forced Air, Gas",Public,Public,0.17,7405,18,18,299950,SCOTT BYER,MB COLORADO RTY LLC,299950,5400,Individual,sb,BO,Yes,25,39.541468,-104.995747
Res,A,282000,BURBERRY,Way,80129,DOUG,DHL,3,3,1413,1413,1983,199.58,199.58,"Garage,Attached",2,"Air Cond-Central,Attic Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Fence,Garden Area,Garage Dr,Gas Logs,Great Room,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Quick Poss,Refrigerator,Remodeled,Smoke Alarm,Self-Clean Oven,Sprinkler,Updated,Vaulted Ceiling,Wndw Cover,Wood Floors,W/W Carpet",Partial,570,3,1,Detach Singl Fam,,Two Story,Frame,"Composition,Concrete Tile",1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee,7500,,all staging items and personal property,2.8,2.8,No,No,Excl Right,LOT 8 HIGHLANDS RANCH 121C 0.178 AM/L,1720,West,500,South,9700,"Forced Air, Gas",Public,Public,0.17,7405,14,14,290000,Jeff Jackson,COLORADO HOME REALTY,336807.13,1610.790419,Individual,JJ,BO,Yes,23,39.541422,-104.996244
Res,S,299950,Timbervale,Ct,80129,DOUG,DHL,4,4,1473,1900,1908,203.63,157.87,"Garage,Attached",2,"Air Cond-Central,Burglar Alarm,Cable Available,Ceiling Fan,Cable Installed,Covered Patio,Cul-De-Sac,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Fence,Garage Dr,Gas Logs,Humidifier,Jack & Jill Bath,Landscaped Pro,Mstr Bathroom,Newer Carpet,Newer Paint,Pool Community,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Vaulted Ceiling,View Mountains,Wndw Cover,Wood Floors,Water Softener,W/W Carpet",Full,435,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1998,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title,3500,72 Hours After Closing Preferred,"Washer, Dryer, Call Listing Realtor For More Exclusions Or Use CTM eContracts",2.8,2.8,No,No,Excl Right,LOT 187 HIGHLANDS RANCH #121-C. 0.160 AM/L,1873,West,400,South,9687,"Forced Air, Gas",Public,Public,0.16,6970,9,9,299950,Roger D Kincade,"MB Kincade Realty Group, LLC",299950,0,Individual,RK,BO,Yes,25,39.540235,-104.997239
Res,S,300000,BURBERRY,Ln,80129,DOUG,DHL,3,3,1473,1862,1908,203.67,161.12,Garage,2,"Air Cond-Central,Backs to Greenbt,Backs to Open Sp,Cable Installed,Cook Top,Cul-De-Sac,Dbl Pane Wndw,Deck,Dryer,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Garden Area,Gas Logs,High Spd Access,Jack & Jill Bath,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pet Free,Patio,Quick Poss,Refrigerator,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,View Mountains,Washer,Wood Floors",Partial,435,3,0,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,REMAX UNLIMITED,5000,3 DAYS AFTER CLOSING,PERSONAL ITEMS,2.8,2.8,No,No,Excl Right,LOT 20 HIGHLANDS RANCH #121-C. 0.169 AM/L,2094,West,700,South,9600,"Forced Air, Gas",Public,Public,0.16,6969,33,33,294900,Vickie Nelson,RE/MAX UNLIMITED INC,300000,1750,Individual,VN,BO,Yes,24,39.54117,-104.99836
Res,S,309000,SILVERBERRY,Cir,80129,DOUG,DHL,3,3,1479,1914,1914,208.92,161.44,"Garage,Attached",2,"Air Cond-Central,Buyer's Warranty,Cable Available,Ceiling Fan,Cable Installed,Corner,Dbl Pane Wndw,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Five Piece Bath,Garage Dr,Gas Logs,Humidifier,Mstr Bathroom,Microwave Oven,Newer Carpet,Newer Paint,Pool Community,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Wndw Cover,Wood Floors,W/W Carpet",Partial,435,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee Company,3000,After Deed and Funding,"Washer, Dryer, Curtains in Master, Baby and Boys Bedrooms. Refrigerator in garage.",2.8,2.8,No,No,Excl Right,LOT 158 HIGHLANDS RANCH #121-B. 0.151 AM/L,1984,West,800,South,9900,"Forced Air, Gas",Public,Public,0.15,6534,1,1,309000,DEBRA BALLARD,BALLARD PROFESSIONALS,309000,0,Individual,DB,BO,Yes,18,39.539453,-105.000233
Res,S,349500,CHADWICK,Cir,80129,DOUG,DHL,3,3,1404,2752,2808,248.93,127,"Garage,Attached",3,"Air Cond-Central,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Evap Cooler,Formal Dining,Fence,Five Piece Bath,Garage Dr,Gas Logs,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Paint,Pool Community,Pet Free,Patio,Quick Poss,Refrigerator,Smoke Alarm,Self-Clean Oven,Sprinkler,Stove/Range/Ovn,Sump Pump,Tile Floor,Updated,Vaulted Ceiling,Wet Bar,Wndw Cover",Full,1404,3,1,Detach Singl Fam,,Ranch/1 Story,Stucco,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",RANCH/3 CAR GARAGE,"RE/MAX Masters, Inc.",5000,NEGOTIABLE,"REFRIG IN BSMT BAR, GARAGE REFRIG, WASHER & DRYER",2.8,2.8,No,No,Excl Right,LOT 248 HIGHLANDS RANCH #121-C. 0.140 AM/L,2111,West,722,South,9900,"Forced Air, Gas",Public,Public,0.14,6098,33,33,349500,Roberta Steckler,RE/MAX MASTERS INC,349500,0,Individual,CJ,BO,Yes,20,39.538178,-104.997136
Res,S,324900,POPPY,Pl,80129,DOUG,DHL,3,3,1700,1700,2704,198.82,198.82,"Garage,Attached",2,"Air Cond-Central,Balcony,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Five Piece Bath,Garage Dr,Great Room,Mstr Bathroom,Microwave Oven,Master Suite,Pool Community,Quick Poss,Refrigerator,Sprinkler,Stove/Range/Ovn,Wood Floors",Full,1004,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,3000,UPON DOD AND FUNDING,"CLOTHES WASHER, CLOTHES DRYER, DRAPES IN MASTER",2.8,2.8,No,No,Excl Right,LOT 72 HIGHLANDS RANCH # 121-C. 0.142 AM/L,2207,West,800,South,9900,"Forced Air, Gas",Public,Public,0.14,6098,20,20,324900,Nicholas Dembeck,RE/MAX ALLIANCE,338000,0,Individual,ND,BO,Yes,25,39.538064,-104.996071
Res,S,324900,POPPY,Pl,80129,DOUG,DHL,3,3,1700,1700,2000,198,198,"Garage,Attached",2,"Air Cond-Central,Attic Fan,Backs to Open Sp,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Fireplace Insert,Garage Dr,Great Room,Hot Tub,Mstr Bathroom,Microwave Oven,Master Suite,Pool Community,Refrigerator,Sprinkler,Stove/Range/Ovn,View Mountains,Washer,Wood Floors",Partial,300,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,3500,UPON DOD AND FUNDING,"Sellers personal property, Refrigerator, Washer/Dryer.",2.8,2.8,No,No,Excl Right,LOT 70 HIGHLANDS RANCH # 121-C. 0.147 AM/L,2079,West,800,South,9900,"Forced Air, Gas",Public,Public,0.14,6098,3,3,249900,Nicholas Dembeck,RE/MAX ALLIANCE,336600,0,Individual,ND,BO,Yes,20,39.537661,-104.996237
