Property Type,Status,Street Name,Street Type,County,Area,Car Storage,Description,Bsmt Size,Type,Near By,Style,Construction,Roofing,Elementary,Junior High,Senior High,School District,Zoned,Terms,Addl Terms,Earnest Ck To,Possession,Exclusions,Var Comm,LTD Srvc,Exclusive Agency,Legal,EW Direction,NS Direction,Heat,Sewer,Water,Name,Listing Office,Seller Type,Entered By,Entered Where,Internet Ads,Photo Count,Latitude,Longitude,Baths,Beds,SqFt,Fin SqFt,Total SqFt,PSF,PSF Fin,Zip,Spaces,Bsmt SqFt,Upper Beds,Fireplaces,Year Built,Min Earnest,Buyers Agency,Trans Br,Taxes,EW#,Acres,Lot Size,Curr DOM,Total DOM,NS#,Concession Amt,Curr List Price
Res,S,WOODROSE,Ct,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Cul-De-Sac,Dbl Pane Wndw,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Garage Dr,Great Room,Handicap,Hot Tub,Master Suite,Newer Paint,Pool Community,Patio,Quick Poss,Refrigerator,Skylights,Sprinkler,Stove/Range/Ovn,Tile Floor,Vaulted Ceiling,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Full,Detach Singl Fam,,Two Story,Frame/Brick,Composition,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,LAND TITLE,Per Contract,PERSONAL BELONGINGS / TV'S AND AUDIO,No,No,Excl Right,LOT 23 HIGHLANDS RANCH #110B 0.20 AM/L,West,South,"Forced Air, Gas",Community,Community,AUSTIN KRAFT,LION'S GATE REAL ESTATE,Individual,ak,BO,Yes,23,39.53257,-105.021822,4,5,1644,2139,2243,194.65,149.6,80129,3,599,4,1,1993,3000,2.8,2.8,1927,3000,0.2,8712,3,3,10109,400,324900
Res,S,POPPY,Pl,DOUG,DHL,"Garage,Attached","Air Cond-Central,Backs to Open Sp,Cable Installed,Corner,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Formal Dining,Fireplace Insert,Five Piece Bath,Garage Dr,Great Room,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Pool Community,Patio,Quick Poss,Refrigerator,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,View Mountains,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Partial,Detach Singl Fam,,Ranch/1 Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,UPON DOD AND FUNDING,SELLERS PERSONAL PROPERTY,Yes,No,Excl Right,LOT 71 HIGHLANDS RANCH # 121-C. 0.193 AM/L,West,South,"Forced Air, Gas",Public,Public,Nicholas Dembeck,RE/MAX ALLIANCE,Individual,ND,BO,Yes,25,39.53788,-104.99602,2,3,1404,1404,1903,232.91,232.91,80129,3,499,,1,1997,4000,2.8,2,2123,800,0.19,8276,4,4,9900,300,304900
Res,S,ROSEWALK,Ct,DOUG,DHL,"Garage,Attached","Air Cond-Central,Attic Fan,Cable Available,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Fireplace Insert,Garden Area,Hot Tub,Microwave Oven,Master Suite,Newer Paint,Pool Community,Patio,Quick Poss,Refrigerator,Self-Clean Oven,Sprinkler,Stove/Range/Ovn,Updated,Utility Shed,Vaulted Ceiling,Wndw Cover,Wood Floors,W/W Carpet",Full,Attach Singl Fam,,Two Story,Frame/Brick,Composition,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,CHICAGO TITLE,AS TIME OF CLOSING AND FUNDING,"REFRIGERATOR IN GARAGE, WASHER/DRYER, SELLERS PERSONAL PROPERTY",No,No,Excl Right,LOT 28 HIGHLANDS RANCH #78A 7917 SQ FT 0.182 AM/L,Out of Metro,Out of Metro,"Forced Air, Gas",,,JODY SHEAHAN,ERA HERMAN GROUP,Individual,JS,BO,Yes,18,39.537576,-105.032823,3,3,1567,1567,2469,188.26,188.26,80129,2,902,3,1,1989,5000,2.8,2.8,1842,0,0.18,7840,4,4,0,1500,290000
Res,S,DEER CREEK,Trl,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Cable Installed,Deck,Dryer,Disposal,Eating Sp/Kit,Five Piece Bath,Jack & Jill Bath,Kitchen Island,Pool Community,Self-Clean Oven,Smoke Free,Sprinkler,Washer,Wndw Cover,Wood Floors",Full,Detach Singl Fam,,Two Story,Frame,,Trailblazer              ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,GUARDIAN TITLE,DELIVERY IF DEED AND FUNDING,REFRIGERATOR,Yes,No,Excl Right,LOT 5 HIGHLANDS RANCH #102A .17 AM/L,West,South,"Forced Air, Gas",Public,Public,DANIEL PASS,COLDWELL BANKER RESIDENTIAL 56,Individual,rs,BO,Yes,15,39.533747,-105.023477,4,4,1641,2412,2498,188.91,128.52,80129,2,857,3,2,1993,3000,2.8,2.8,1915,2888,0.17,7405,7,7,9900,6800,300000
Res,S,BURBERRY,Way,DOUG,DHL,"Garage,Attached","Air Cond-Central,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Garden Area,Garage Dr,Gas Logs,Jack & Jill Bath,Mstr Bathroom,Microwave Oven,Media Room,Master Suite,Pool Community,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,View City,Vaulted Ceiling,View Mountains,Wndw Cover,Wood Floors,Water Softener,W/W Carpet",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Colorado Escrow and Title,neg.,see broker remarks,Yes,No,Excl Agency,LOT 6 HIGHLANDS RANCH 121C 0.173 AM/L,West,South,"Forced Air, Gas",Public,Public,SCOTT BYER,MB COLORADO RTY LLC,Individual,sb,BO,Yes,25,39.541468,-104.995747,3,3,1473,1908,1908,203.63,157.21,80129,2,435,3,1,1997,4000,2.8,2.8,1789,0,0.17,7405,18,18,0,5400,299950
Res,A,BURBERRY,Way,DOUG,DHL,"Garage,Attached","Air Cond-Central,Attic Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Fence,Garden Area,Garage Dr,Gas Logs,Great Room,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Quick Poss,Refrigerator,Remodeled,Smoke Alarm,Self-Clean Oven,Sprinkler,Updated,Vaulted Ceiling,Wndw Cover,Wood Floors,W/W Carpet",Partial,Detach Singl Fam,,Two Story,Frame,"Composition,Concrete Tile",Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee,,all staging items and personal property,No,No,Excl Right,LOT 8 HIGHLANDS RANCH 121C 0.178 AM/L,West,South,"Forced Air, Gas",Public,Public,Jeff Jackson,COLORADO HOME REALTY,Individual,JJ,BO,Yes,23,39.541422,-104.996244,3,3,1413,1413,1983,199.58,199.58,80129,2,570,3,1,1997,7500,2.8,2.8,1720,500,0.17,7405,14,14,9700,,282000
Res,S,Timbervale,Ct,DOUG,DHL,"Garage,Attached","Air Cond-Central,Burglar Alarm,Cable Available,Ceiling Fan,Cable Installed,Covered Patio,Cul-De-Sac,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Fence,Garage Dr,Gas Logs,Humidifier,Jack & Jill Bath,Landscaped Pro,Mstr Bathroom,Newer Carpet,Newer Paint,Pool Community,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Vaulted Ceiling,View Mountains,Wndw Cover,Wood Floors,Water Softener,W/W Carpet",Full,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title,72 Hours After Closing Preferred,"Washer, Dryer, Call Listing Realtor For More Exclusions Or Use CTM eContracts",No,No,Excl Right,LOT 187 HIGHLANDS RANCH #121-C. 0.160 AM/L,West,South,"Forced Air, Gas",Public,Public,Roger D Kincade,"MB Kincade Realty Group, LLC",Individual,RK,BO,Yes,25,39.540235,-104.997239,4,4,1473,1900,1908,203.63,157.87,80129,2,435,3,1,1998,3500,2.8,2.8,1873,400,0.16,6970,9,9,9687,0,299950
Res,S,BURBERRY,Ln,DOUG,DHL,Garage,"Air Cond-Central,Backs to Greenbt,Backs to Open Sp,Cable Installed,Cook Top,Cul-De-Sac,Dbl Pane Wndw,Deck,Dryer,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Garden Area,Gas Logs,High Spd Access,Jack & Jill Bath,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pet Free,Patio,Quick Poss,Refrigerator,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,View Mountains,Washer,Wood Floors",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,REMAX UNLIMITED,3 DAYS AFTER CLOSING,PERSONAL ITEMS,No,No,Excl Right,LOT 20 HIGHLANDS RANCH #121-C. 0.169 AM/L,West,South,"Forced Air, Gas",Public,Public,Vickie Nelson,RE/MAX UNLIMITED INC,Individual,VN,BO,Yes,24,39.54117,-104.99836,3,3,1473,1862,1908,203.67,161.12,80129,2,435,3,,1997,5000,2.8,2.8,2094,700,0.16,6969,33,33,9600,1750,300000
Res,S,SILVERBERRY,Cir,DOUG,DHL,"Garage,Attached","Air Cond-Central,Buyer's Warranty,Cable Available,Ceiling Fan,Cable Installed,Corner,Dbl Pane Wndw,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Five Piece Bath,Garage Dr,Gas Logs,Humidifier,Mstr Bathroom,Microwave Oven,Newer Carpet,Newer Paint,Pool Community,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Wndw Cover,Wood Floors,W/W Carpet",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee Company,After Deed and Funding,"Washer, Dryer, Curtains in Master, Baby and Boys Bedrooms. Refrigerator in garage.",No,No,Excl Right,LOT 158 HIGHLANDS RANCH #121-B. 0.151 AM/L,West,South,"Forced Air, Gas",Public,Public,DEBRA BALLARD,BALLARD PROFESSIONALS,Individual,DB,BO,Yes,18,39.539453,-105.000233,3,3,1479,1914,1914,208.92,161.44,80129,2,435,3,1,1997,3000,2.8,2.8,1984,800,0.15,6534,1,1,9900,0,309000
Res,S,CHADWICK,Cir,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Evap Cooler,Formal Dining,Fence,Five Piece Bath,Garage Dr,Gas Logs,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Paint,Pool Community,Pet Free,Patio,Quick Poss,Refrigerator,Smoke Alarm,Self-Clean Oven,Sprinkler,Stove/Range/Ovn,Sump Pump,Tile Floor,Updated,Vaulted Ceiling,Wet Bar,Wndw Cover",Full,Detach Singl Fam,,Ranch/1 Story,Stucco,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",RANCH/3 CAR GARAGE,"RE/MAX Masters, Inc.",NEGOTIABLE,"REFRIG IN BSMT BAR, GARAGE REFRIG, WASHER & DRYER",No,No,Excl Right,LOT 248 HIGHLANDS RANCH #121-C. 0.140 AM/L,West,South,"Forced Air, Gas",Public,Public,Roberta Steckler,RE/MAX MASTERS INC,Individual,CJ,BO,Yes,20,39.538178,-104.997136,3,3,1404,2752,2808,248.93,127,80129,3,1404,,1,1997,5000,2.8,2.8,2111,722,0.14,6098,33,33,9900,0,349500
